epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.771,1.75968,0.40736,0.93174,1.62547,0.00998886,0.00332962,0.00998886,0.00332962,0.00998886,0.00332962,0.00998886,0.00332962
2,88.0636,1.5777,0.49512,0.96629,1.35251,0.0198899,0.00662997,0.0198899,0.00662997,0.0198899,0.00662997,0.0198899,0.00662997
3,119.227,1.40944,0.51045,0.97576,1.25236,0.029692,0.00989732,0.029692,0.00989732,0.029692,0.00989732,0.029692,0.00989732
4,150.761,1.32101,0.56088,0.97353,1.17548,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,185.806,1.24845,0.56952,0.98161,1.13655,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,223.516,1.20225,0.601,0.98495,1.07842,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,260.918,1.17197,0.6063,0.98468,1.04301,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,298.569,1.15179,0.61076,0.98663,1.04638,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,336.38,1.13279,0.61466,0.98607,1.03333,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,373.714,1.11964,0.62469,0.98523,0.99932,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,411.853,1.10161,0.62329,0.98356,1.01968,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,450.436,1.09277,0.63109,0.9844,1.00163,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,488.178,1.08457,0.63527,0.98858,0.98905,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,527.038,1.07645,0.62998,0.98663,0.98037,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,564.487,1.07151,0.64921,0.9869,0.97333,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,601.969,1.06667,0.63973,0.98885,0.96048,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,639.526,1.0589,0.6389,0.98802,0.95369,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,677.568,1.05133,0.64753,0.98913,0.94526,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,715.711,1.04176,0.6389,0.9883,0.94828,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,753.553,1.03722,0.64196,0.98997,0.97265,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
